,good,great,excellent,amazing,nice,far,ai,yes,awesome,well,really,easy,clear,informative,not,best,like,understand,explanation,lot
comment_1,0.102484554,0.0,0.0,0.0,0.0,0.0,0.13089451,0.0,0.0,0.0,0.15413956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_3,0.0,0.0,0.20049162,0.0,0.0,0.0,0.16619928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_5,0.0,0.0,0.0,0.0,0.0,0.0,0.18398823,0.0,0.15854108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
